epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
1, 252, 2.2927, 0.0362, 14.062, 59.375, 0.103, 0.048, 
1, 252, 2.2915, 0.0361, 10.938, 53.125, 0.103, 0.046, 
1, 252, 2.2819, 0.0360, 14.062, 68.750, 0.118, 0.054, 
1, 252, 2.2671, 0.0359, 14.062, 65.625, 0.143, 0.052, 
1, 252, 2.2227, 0.0357, 32.812, 87.500, 0.183, 0.052, 
1, 252, 2.1727, 0.0354, 45.312, 90.625, 0.250, 0.052, 
1, 252, 2.1269, 0.0349, 42.188, 84.375, 0.465, 0.055, 
1, 252, 1.9746, 0.0340, 59.375, 92.188, 0.481, 0.056, 
1, 252, 1.7557, 0.0329, 65.625, 93.750, 0.512, 0.052, 
1, 252, 1.5806, 0.0314, 60.938, 92.188, 0.615, 0.054, 
1, 252, 1.3584, 0.0297, 68.750, 95.312, 0.669, 0.050, 
1, 252, 1.2332, 0.0280, 73.438, 98.438, 0.715, 0.047, 
1, 252, 1.1407, 0.0265, 71.875, 98.438, 0.772, 0.058, 
1, 252, 0.7878, 0.0248, 82.812, 98.438, 0.788, 0.055, 
1, 252, 0.8180, 0.0237, 79.688, 98.438, 0.770, 0.049, 
1, 252, 0.7798, 0.0227, 81.250, 98.438, 0.807, 0.051, 
1, 252, 0.7346, 0.0218, 81.250, 96.875, 0.817, 0.052, 
1, 252, 0.8403, 0.0210, 75.000, 100.000, 0.825, 0.050, 
1, 252, 0.5938, 0.0202, 85.938, 100.000, 0.837, 0.052, 
1, 252, 0.4851, 0.0195, 87.500, 100.000, 0.818, 0.047, 
1, 252, 0.4780, 0.0189, 87.500, 100.000, 0.839, 0.054, 
1, 252, 0.5197, 0.0184, 87.500, 96.875, 0.840, 0.060, 
1, 252, 0.7720, 0.0182, 76.562, 100.000, 0.839, 0.058, 
1, 252, 0.6594, 0.0175, 82.812, 96.875, 0.846, 0.061, 
1, 252, 0.5413, 0.0173, 87.500, 96.875, 0.847, 0.070, 
1, 252, 0.4695, 0.0169, 81.250, 100.000, 0.847, 0.067, 
1, 252, 0.4994, 0.0163, 84.375, 100.000, 0.853, 0.084, 
1, 252, 0.4184, 0.0162, 82.812, 100.000, 0.853, 0.093, 
1, 252, 0.4217, 0.0158, 90.625, 96.875, 0.857, 0.093, 
1, 252, 0.4763, 0.0157, 84.375, 98.438, 0.837, 0.095, 
1, 252, 0.3935, 0.0154, 87.500, 100.000, 0.856, 0.117, 
1, 252, 0.5459, 0.0149, 85.938, 98.438, 0.869, 0.125, 
1, 252, 0.2867, 0.0146, 89.062, 100.000, 0.872, 0.126, 
1, 252, 0.3775, 0.0150, 90.625, 98.438, 0.855, 0.129, 
1, 252, 0.5143, 0.0146, 81.250, 100.000, 0.868, 0.141, 
1, 252, 0.4216, 0.0149, 87.500, 100.000, 0.844, 0.135, 
1, 252, 0.4774, 0.0145, 85.938, 98.438, 0.861, 0.132, 
1, 252, 0.2750, 0.0143, 95.312, 98.438, 0.873, 0.142, 
1, 252, 0.4703, 0.0143, 85.938, 98.438, 0.857, 0.134, 
1, 252, 0.3805, 0.0139, 87.500, 96.875, 0.869, 0.146, 
1, 252, 0.4792, 0.0140, 87.500, 98.438, 0.870, 0.153, 
1, 252, 0.4061, 0.0135, 90.625, 100.000, 0.877, 0.159, 
1, 252, 0.4239, 0.0136, 89.062, 98.438, 0.864, 0.174, 
1, 252, 0.3556, 0.0134, 92.188, 100.000, 0.878, 0.180, 
1, 252, 0.5576, 0.0134, 82.812, 96.875, 0.876, 0.169, 
1, 252, 0.3634, 0.0130, 85.938, 100.000, 0.884, 0.183, 
1, 252, 0.3396, 0.0132, 92.188, 100.000, 0.881, 0.186, 
1, 252, 0.5730, 0.0128, 79.688, 96.875, 0.882, 0.197, 
1, 252, 0.2638, 0.0127, 93.750, 100.000, 0.890, 0.222, 
1, 252, 0.4593, 0.0131, 87.500, 100.000, 0.883, 0.200, 
1, 252, 0.1806, 0.0127, 95.312, 100.000, 0.884, 0.205, 
1, 252, 0.4743, 0.0125, 84.375, 100.000, 0.891, 0.195, 
1, 252, 0.4872, 0.0125, 87.500, 98.438, 0.887, 0.197, 
1, 252, 0.4236, 0.0126, 85.938, 98.438, 0.893, 0.206, 
1, 252, 0.2441, 0.0128, 95.312, 100.000, 0.885, 0.189, 
1, 252, 0.3876, 0.0123, 89.062, 100.000, 0.895, 0.211, 
1, 252, 0.2949, 0.0128, 90.625, 100.000, 0.882, 0.197, 
1, 252, 0.2794, 0.0125, 92.188, 100.000, 0.868, 0.202, 
1, 252, 0.3263, 0.0125, 92.188, 100.000, 0.888, 0.216, 
1, 252, 0.4350, 0.0120, 85.938, 100.000, 0.893, 0.218, 
1, 252, 0.2805, 0.0122, 89.062, 100.000, 0.890, 0.224, 
1, 252, 0.3781, 0.0121, 89.062, 100.000, 0.877, 0.232, 
1, 252, 0.4495, 0.0115, 87.500, 100.000, 0.902, 0.259, 
2, 252, 0.3140, 0.0117, 92.188, 98.438, 0.900, 0.239, 
2, 252, 0.2661, 0.0117, 89.062, 100.000, 0.895, 0.247, 
2, 252, 0.4562, 0.0120, 92.188, 98.438, 0.893, 0.231, 
2, 252, 0.2476, 0.0119, 89.062, 100.000, 0.894, 0.246, 
2, 252, 0.2333, 0.0115, 95.312, 100.000, 0.899, 0.242, 
2, 252, 0.4573, 0.0118, 84.375, 98.438, 0.901, 0.235, 
2, 252, 0.5943, 0.0112, 85.938, 100.000, 0.913, 0.260, 
2, 252, 0.2082, 0.0115, 92.188, 100.000, 0.902, 0.239, 
2, 252, 0.2501, 0.0113, 89.062, 100.000, 0.901, 0.252, 
2, 252, 0.3216, 0.0115, 90.625, 100.000, 0.898, 0.249, 
2, 252, 0.3358, 0.0109, 89.062, 100.000, 0.911, 0.263, 
2, 252, 0.3364, 0.0114, 89.062, 100.000, 0.905, 0.262, 
2, 252, 0.2010, 0.0113, 92.188, 100.000, 0.901, 0.252, 
2, 252, 0.3420, 0.0111, 87.500, 100.000, 0.907, 0.263, 
2, 252, 0.2152, 0.0109, 93.750, 100.000, 0.915, 0.279, 
2, 252, 0.3610, 0.0109, 89.062, 100.000, 0.913, 0.273, 
2, 252, 0.3096, 0.0109, 92.188, 100.000, 0.915, 0.268, 
2, 252, 0.1721, 0.0113, 95.312, 100.000, 0.901, 0.243, 
