main.py --pruning=True --tensorboard=True --log-interval=15 --pruning_config=./configs/cifar_22_15.json --batch-size 64 --constraint RobustnessG(eps=0.3, delta=0.52) --dataset=CIFAR10 --num-iters 50
pruning_engine.load_mask(): did not find mask file, will load nothing
epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
1, 252, 2.3194, 0.0023, 4.688, 34.375, 0.099, 1.000, 
1, 252, 2.2939, 0.0023, 6.250, 57.812, 0.103, 1.000, 
1, 252, 2.3034, 0.0023, 12.500, 53.125, 0.107, 1.000, 
1, 252, 2.3048, 0.0023, 17.188, 43.750, 0.115, 1.000, 
1, 252, 2.3086, 0.0023, 12.500, 57.812, 0.114, 1.000, 
1, 252, 2.3085, 0.0023, 3.125, 54.688, 0.112, 1.000, 
1, 252, 2.2836, 0.0023, 14.062, 64.062, 0.130, 1.000, 
1, 252, 2.2945, 0.0023, 10.938, 59.375, 0.141, 1.000, 
1, 252, 2.2869, 0.0023, 15.625, 65.625, 0.151, 1.000, 
1, 252, 2.2936, 0.0023, 21.875, 54.688, 0.198, 1.000, 
1, 252, 2.2741, 0.0023, 21.875, 70.312, 0.202, 1.000, 
1, 252, 2.2731, 0.0023, 23.438, 64.062, 0.194, 1.000, 
1, 252, 2.2809, 0.0023, 10.938, 62.500, 0.200, 1.000, 
1, 252, 2.2541, 0.0023, 23.438, 73.438, 0.195, 1.000, 
1, 252, 2.2239, 0.0022, 23.438, 67.188, 0.183, 1.000, 
1, 252, 2.2158, 0.0022, 18.750, 71.875, 0.190, 1.000, 
1, 252, 2.1998, 0.0022, 20.312, 68.750, 0.204, 1.000, 
1, 252, 2.2181, 0.0022, 18.750, 57.812, 0.219, 1.000, 
1, 252, 2.1773, 0.0022, 15.625, 71.875, 0.221, 1.000, 
1, 252, 2.1829, 0.0021, 20.312, 68.750, 0.249, 1.000, 
1, 252, 2.0313, 0.0021, 40.625, 78.125, 0.254, 1.000, 
1, 252, 1.9991, 0.0021, 29.688, 85.938, 0.266, 1.000, 
1, 252, 2.0769, 0.0020, 25.000, 73.438, 0.255, 1.000, 
1, 252, 2.0250, 0.0020, 26.562, 84.375, 0.285, 0.999, 
1, 252, 1.8609, 0.0020, 35.938, 85.938, 0.269, 0.997, 
1, 252, 1.8956, 0.0020, 29.688, 78.125, 0.293, 0.997, 
1, 252, 1.8896, 0.0020, 34.375, 84.375, 0.279, 0.994, 
1, 252, 2.0902, 0.0020, 26.562, 75.000, 0.300, 0.994, 
1, 252, 1.8880, 0.0019, 32.812, 85.938, 0.293, 0.995, 
1, 252, 1.9452, 0.0019, 23.438, 85.938, 0.311, 0.992, 
