main_confusion.py --pruning=True --tensorboard=True --log-interval=15 --pruning_config=./configs/mnist_22_15.json --constraint RobustnessDandR(eps1=7.8, eps2=2.9) --print-after-epoch=0
pruning_engine.load_mask(): did not find mask file, will load nothing
epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
1, 252, 2.2927, 0.0362, 14.062, 59.375, 0.103, 0.048, 
1, 252, 2.2915, 0.0361, 10.938, 53.125, 0.103, 0.046, 
1, 252, 2.2819, 0.0360, 14.062, 68.750, 0.118, 0.054, 
1, 252, 2.2671, 0.0359, 14.062, 65.625, 0.143, 0.052, 
1, 252, 2.2227, 0.0357, 32.812, 87.500, 0.183, 0.052, 
1, 252, 2.1727, 0.0354, 45.312, 90.625, 0.250, 0.052, 
1, 252, 2.1269, 0.0349, 42.188, 84.375, 0.465, 0.055, 
1, 252, 1.9746, 0.0340, 59.375, 92.188, 0.481, 0.056, 
1, 252, 1.7558, 0.0329, 65.625, 93.750, 0.512, 0.052, 
1, 252, 1.5801, 0.0314, 60.938, 92.188, 0.617, 0.054, 
1, 252, 1.3579, 0.0297, 68.750, 95.312, 0.668, 0.050, 
1, 252, 1.2328, 0.0280, 73.438, 98.438, 0.716, 0.047, 
1, 252, 1.1400, 0.0264, 71.875, 98.438, 0.772, 0.058, 
1, 252, 0.7876, 0.0247, 81.250, 98.438, 0.788, 0.055, 
1, 252, 0.8179, 0.0237, 79.688, 98.438, 0.770, 0.049, 
1, 252, 0.7798, 0.0227, 81.250, 98.438, 0.807, 0.051, 
1, 252, 0.7345, 0.0218, 81.250, 96.875, 0.817, 0.052, 
1, 252, 0.8405, 0.0210, 75.000, 100.000, 0.825, 0.050, 
1, 252, 0.5937, 0.0202, 87.500, 100.000, 0.837, 0.052, 
1, 252, 0.4854, 0.0195, 87.500, 100.000, 0.818, 0.047, 
1, 252, 0.4779, 0.0189, 87.500, 100.000, 0.839, 0.054, 
1, 252, 0.5194, 0.0184, 87.500, 96.875, 0.840, 0.060, 
1, 252, 0.7725, 0.0182, 76.562, 100.000, 0.839, 0.058, 
1, 252, 0.6589, 0.0175, 82.812, 96.875, 0.846, 0.061, 
1, 252, 0.5413, 0.0173, 87.500, 96.875, 0.847, 0.070, 
1, 252, 0.4697, 0.0169, 79.688, 100.000, 0.848, 0.067, 
1, 252, 0.4994, 0.0163, 84.375, 100.000, 0.853, 0.085, 
1, 252, 0.4182, 0.0162, 82.812, 100.000, 0.853, 0.092, 
1, 252, 0.4219, 0.0158, 90.625, 96.875, 0.857, 0.093, 
1, 252, 0.4762, 0.0157, 84.375, 98.438, 0.836, 0.095, 
1, 252, 0.3939, 0.0154, 85.938, 100.000, 0.856, 0.117, 
1, 252, 0.5465, 0.0149, 85.938, 98.438, 0.868, 0.125, 
1, 252, 0.2863, 0.0146, 89.062, 100.000, 0.872, 0.126, 
1, 252, 0.3774, 0.0150, 90.625, 98.438, 0.855, 0.129, 
1, 252, 0.5147, 0.0146, 81.250, 100.000, 0.869, 0.142, 
1, 252, 0.4214, 0.0149, 87.500, 100.000, 0.844, 0.135, 
1, 252, 0.4765, 0.0145, 85.938, 98.438, 0.861, 0.132, 
1, 252, 0.2750, 0.0143, 95.312, 98.438, 0.873, 0.142, 
1, 252, 0.4703, 0.0143, 85.938, 98.438, 0.858, 0.134, 
1, 252, 0.3802, 0.0139, 87.500, 96.875, 0.869, 0.147, 
1, 252, 0.4785, 0.0140, 87.500, 98.438, 0.870, 0.153, 
1, 252, 0.4064, 0.0135, 90.625, 100.000, 0.877, 0.159, 
1, 252, 0.4237, 0.0136, 89.062, 98.438, 0.864, 0.174, 
1, 252, 0.3551, 0.0134, 92.188, 100.000, 0.878, 0.180, 
1, 252, 0.5583, 0.0134, 82.812, 96.875, 0.876, 0.169, 
1, 252, 0.3636, 0.0130, 85.938, 100.000, 0.884, 0.182, 
1, 252, 0.3395, 0.0132, 92.188, 100.000, 0.881, 0.186, 
1, 252, 0.5735, 0.0128, 79.688, 96.875, 0.882, 0.197, 
1, 252, 0.2640, 0.0127, 93.750, 100.000, 0.890, 0.221, 
1, 252, 0.4608, 0.0131, 87.500, 100.000, 0.883, 0.200, 
1, 252, 0.1804, 0.0126, 95.312, 100.000, 0.884, 0.205, 
1, 252, 0.4751, 0.0125, 84.375, 100.000, 0.891, 0.195, 
1, 252, 0.4877, 0.0125, 87.500, 98.438, 0.887, 0.197, 
1, 252, 0.4236, 0.0126, 85.938, 98.438, 0.893, 0.206, 
1, 252, 0.2437, 0.0128, 95.312, 100.000, 0.885, 0.189, 
1, 252, 0.3872, 0.0123, 89.062, 100.000, 0.895, 0.211, 
1, 252, 0.2950, 0.0128, 90.625, 100.000, 0.883, 0.197, 
1, 252, 0.2797, 0.0125, 92.188, 100.000, 0.868, 0.202, 
1, 252, 0.3259, 0.0125, 92.188, 100.000, 0.888, 0.216, 
1, 252, 0.4374, 0.0120, 84.375, 100.000, 0.893, 0.219, 
1, 252, 0.2806, 0.0122, 89.062, 100.000, 0.890, 0.224, 
1, 252, 0.3796, 0.0121, 89.062, 100.000, 0.877, 0.232, 
1, 252, 0.4489, 0.0115, 85.938, 100.000, 0.902, 0.259, 
2, 252, 0.3134, 0.0117, 92.188, 98.438, 0.900, 0.239, 
2, 252, 0.2670, 0.0117, 89.062, 100.000, 0.895, 0.247, 
2, 252, 0.4571, 0.0120, 92.188, 98.438, 0.893, 0.231, 
2, 252, 0.2474, 0.0119, 89.062, 100.000, 0.894, 0.246, 
2, 252, 0.2333, 0.0115, 95.312, 100.000, 0.899, 0.242, 
2, 252, 0.4586, 0.0117, 84.375, 98.438, 0.900, 0.235, 
2, 252, 0.5931, 0.0112, 85.938, 100.000, 0.913, 0.260, 
2, 252, 0.2074, 0.0115, 92.188, 100.000, 0.902, 0.238, 
2, 252, 0.2504, 0.0113, 89.062, 100.000, 0.901, 0.251, 
2, 252, 0.3209, 0.0115, 92.188, 100.000, 0.898, 0.249, 
2, 252, 0.3369, 0.0109, 89.062, 100.000, 0.911, 0.264, 
2, 252, 0.3364, 0.0114, 89.062, 100.000, 0.905, 0.262, 
2, 252, 0.2007, 0.0112, 92.188, 100.000, 0.901, 0.253, 
2, 252, 0.3426, 0.0111, 87.500, 100.000, 0.907, 0.264, 
2, 252, 0.2153, 0.0109, 93.750, 100.000, 0.916, 0.279, 
